MONTO;DESCRIPCIÓN MOVIMIENTO;;FECHA;N° DOCUMENTO;SUCURSAL;;CARGO/ABONO
254.800;Dep Efect Servipag 00760638226;;02/06/2025;000374850;SPAG SAN BERNARDO;;A
61.700;Dep Efect Servipag 00760638226;;02/06/2025;002810674;SPAG SAN BERNARDO;;A
361.800;Dep Efect Servipag 00760638226;;02/06/2025;002810675;SPAG SAN BERNARDO;;A
116.700;Dep Efect Servipag 00760638226;;02/06/2025;002828305;SPAG CITY PT OVALLE;;A
5.909;0995469006 Transf. Iswitch SA;;02/06/2025;000100003;Agustinas;;A
99.795;0995469006 Transf. Iswitch SA;;02/06/2025;000100003;Agustinas;;A
14.854;0995469006 Transf. Iswitch SA;;02/06/2025;000100003;Agustinas;;A
150.000;Dep Efect Servipag 00760638226;;02/06/2025;001398070;SPAG OSORNO;;A
100.000;Dep Efect Servipag 00760638226;;02/06/2025;001398068;SPAG OSORNO;;A
164.550;Dep Efect Servipag 00760638226;;02/06/2025;013985067;SPAG OSORNO;;A
166.350;Dep Efect Servipag 00760638226;;02/06/2025;003394583;SPAG OSORNO;;A
168.800;Dep Efect Servipag 00760638226;;02/06/2025;003394584;SPAG OSORNO;;A
128.100;Dep Efect Servipag 00760638226;;02/06/2025;001397818;SPAG OSORNO;;A
130.400;Dep Efect Servipag 00760638226;;02/06/2025;001397819;SPAG OSORNO;;A
759.100;Dep Efect Servipag 00760638226;;02/06/2025;001218311;SPAG MAIPU;;A
370.000;Trabaja como Partime 30 hrs;;02/06/2025;003500100;Agustinas;;A
599.456;Trabajo todo el mes de Mayo;;02/06/2025;003500100;Agustinas;;A
15.900;Dep Efect Servipag 00760638226;;02/06/2025;005657466;SPAG TALCA;;A
29.150;Dep Efect Servipag 00760638226;;02/06/2025;005657465;SPAG TALCA;;A
17.700;Dep Efect Servipag 00760638226;;02/06/2025;005657464;SPAG TALCA;;A
523.350;Dep Efect Servipag 00760638226;;02/06/2025;002798451;SPAG MALL PASEO BALM;;A
66.250;Dep Efect Servipag 00760638226;;02/06/2025;004699215;SPAG CONCHALI;;A
15.100;Dep Efect Servipag 00760638226;;02/06/2025;004699216;SPAG CONCHALI;;A
18.400;Dep Efect Servipag 00760638226;;02/06/2025;004699217;SPAG CONCHALI;;A
31.150;Dep Efect Servipag 00760638226;;02/06/2025;004699218;SPAG CONCHALI;;A
45.600;Dep Efect Servipag 00760638226;;02/06/2025;004699219;SPAG CONCHALI;;A
15.000;019337364K Transf. Eileen Jazmin P;;02/06/2025;001600119;Agustinas;;A
65.000;0106546835 Transf de ALEJANDRA LAS;;02/06/2025;000000000;O.Gerencia;;A
60.000;0155855231 Transf. Vanessa Veronic;;02/06/2025;001600119;Agustinas;;A
357.000;0771700594 Transf. IMPORTADORA MI;;02/06/2025;001425060;Agustinas;;A
9.464.438;0966893109 ABN CRD DB TRAN TRANSBA;;02/06/2025;000000000;G.Finanzas;;A
323.200;Depósito en Efectivo;;02/06/2025;002189414;CHILLANPZA;;A
364.200;Depósito en Efectivo;;02/06/2025;002189413;CHILLANPZA;;A
107.100;Dep Efect Servipag 00760638226;;02/06/2025;000734462;SPAG CONCEPCION;;A
130.800;Dep Efect Servipag 00760638226;;02/06/2025;000734461;SPAG CONCEPCION;;A
66.400;Dep Efect Servipag 00760638226;;02/06/2025;000734464;SPAG CONCEPCION;;A
47.600;Dep Efect Servipag 00760638226;;02/06/2025;002661617;SPAG CONCEPCION;;A
18.330;Depósito en Efectivo;;02/06/2025;003506678;QUILPUE;;A
97.700;Depósito en Efectivo;;02/06/2025;003506677;QUILPUE;;A
125.550;Depósito en Efectivo;;02/06/2025;003506676;QUILPUE;;A
139.850;Depósito en Efectivo;;02/06/2025;003506675;QUILPUE;;A
80.550;Depósito en Efectivo;;02/06/2025;003506674;QUILPUE;;A
136.350;Depósito en Efectivo;;02/06/2025;003506671;QUILPUE;;A
93.200;Depósito en Efectivo;;02/06/2025;003506670;QUILPUE;;A
40.000;0093421698 Transf. CASTILLO STUARD;;02/06/2025;001202094;Agustinas;;A
20.600;Depósito en Efectivo;;02/06/2025;000008567;V.Mackenna;;A
27.500;Depósito en Efectivo;;02/06/2025;000008566;V.Mackenna;;A
22.300;Depósito en Efectivo;;02/06/2025;000008565;V.Mackenna;;A
19.200;Depósito en Efectivo;;02/06/2025;000008564;V.Mackenna;;A
181.000;Depósito en Efectivo;;02/06/2025;004197197;Limache;;A
177.100;Depósito en Efectivo;;02/06/2025;004197198;Limache;;A
92.350;Depósito en Efectivo;;02/06/2025;004197199;Limache;;A
350.900;Depósito en Efectivo;;02/06/2025;002332592;ANTOF.PZA.EXPRESSO;;A
330.000;Depósito en Efectivo;;02/06/2025;002332593;ANTOF.PZA.EXPRESSO;;A
307.900;Depósito en Efectivo;;02/06/2025;002332594;ANTOF.PZA.EXPRESSO;;A
324.350;Depósito en Efectivo;;02/06/2025;002332595;ANTOF.PZA.EXPRESSO;;A
70.000;Depósito en Efectivo;;02/06/2025;000901259;ANTOF.PZA.EXPRESSO;;A
70.000;0141430068 Transf de RITA KATHERIN;;02/06/2025;000000000;O.Gerencia;;A
100.650;Depósito en Efectivo;;02/06/2025;005221010;Quillota;;A
146.400;Depósito en Efectivo;;02/06/2025;005222092;Quillota;;A
237.400;Depósito en Efectivo;;02/06/2025;005224855;Quillota;;A
70.000;0115910779 Transf de MARIA SOLEDAD;;02/06/2025;000000000;O.Gerencia;;A
83.300;0766593852 Transf. SOCIEDAD FARMAC;;02/06/2025;001600119;Agustinas;;A
71.400;0762963167 Transf de IMPRESORES MA;;02/06/2025;000000000;Agustinas;;A
200.000;0765987547 Transf. INGENIERIA Y CO;;02/06/2025;000100003;Agustinas;;A
77.350;0088526120 Transf. VILLA ESCOBAR A;;02/06/2025;001425060;Agustinas;;A
65.200;Depósito en Efectivo;;02/06/2025;000004262;CENTRO EXPRESSO;;A
204.600;Depósito en Efectivo;;02/06/2025;000003403;Matucana;;A
68.550;Depósito en Efectivo;;02/06/2025;000000834;Matucana;;A
88.150;Depósito en Efectivo;;02/06/2025;000000833;Matucana;;A
37.650;Depósito en Efectivo;;02/06/2025;000000831;Matucana;;A
38.750;Depósito en Efectivo;;02/06/2025;000000832;Matucana;;A
250.000;Depósito en Efectivo;;02/06/2025;000002905;Matucana;;A
20.050;Depósito en Efectivo;;02/06/2025;000003404;Matucana;;A
34.000;Depósito en Efectivo;;02/06/2025;000003405;Matucana;;A
285.850;Depósito en Efectivo;;02/06/2025;000002903;Matucana;;A
36.100;Depósito en Efectivo;;02/06/2025;000000830;Matucana;;A
223.000;Depósito en Efectivo;;02/06/2025;000002900;Matucana;;A
354.400;Depósito en Efectivo;;02/06/2025;000002904;Matucana;;A
261.700;Depósito en Efectivo;;02/06/2025;000002902;Matucana;;A
25.950;Depósito en Efectivo;;02/06/2025;002826137;Ovalle;;A
168.650;Depósito en Efectivo;;02/06/2025;002828456;Ovalle;;A
125.400;Depósito en Efectivo;;02/06/2025;002647692;L. Angeles;;A
253.200;Depósito en Efectivo;;02/06/2025;002647690;L. Angeles;;A
279.550;Depósito en Efectivo;;02/06/2025;002647691;L. Angeles;;A
234.000;Depósito en Efectivo;;02/06/2025;002647689;L. Angeles;;A
83.700;Dep Efect Servipag 00760638226;;02/06/2025;001336780;SPAG MIRAFLORES;;A
114.250;Dep Efect Servipag 00760638226;;02/06/2025;001336779;SPAG MIRAFLORES;;A
68.100;Dep Efect Servipag 00760638226;;02/06/2025;001336781;SPAG MIRAFLORES;;A
83.850;Dep Efect Servipag 00760638226;;02/06/2025;001336728;SPAG MIRAFLORES;;A
68.750;Dep Efect Servipag 00760638226;;02/06/2025;001336774;SPAG MIRAFLORES;;A
33.950;Dep Efect Servipag 00760638226;;02/06/2025;001241430;SPAG MIRAFLORES;;A
17.800;Dep Efect Servipag 00760638226;;02/06/2025;001241429;SPAG MIRAFLORES;;A
62.300;Dep Efect Servipag 00760638226;;03/06/2025;000846612;SPAG MIRAFLORES;;A
313.350;Depósito en Efectivo;;02/06/2025;000000001;L. Angeles;;A
65.950;Dep Efect Servipag 00760638226;;03/06/2025;000846610;SPAG MIRAFLORES;;A
14.700;Dep Efect Servipag 00760638226;;03/06/2025;001241431;SPAG MIRAFLORES;;A
139.400;Depósito en Efectivo;;02/06/2025;000000001;L. Angeles;;A
41.900;Dep Efect Servipag 00760638226;;03/06/2025;000846602;SPAG MIRAFLORES;;A
46.500;Dep Efect Servipag 00760638226;;03/06/2025;000818461;SPAG MIRAFLORES;;A
35.700;Dep Efect Servipag 00760638226;;03/06/2025;001241380;SPAG MIRAFLORES;;A
23.000;Dep Efect Servipag 00760638226;;03/06/2025;001241384;SPAG MIRAFLORES;;A
28.800;Dep Efect Servipag 00760638226;;03/06/2025;001241379;SPAG MIRAFLORES;;A
39.700;Dep Efect Servipag 00760638226;;03/06/2025;001241378;SPAG MIRAFLORES;;A
43.400;Dep Efect Servipag 00760638226;;03/06/2025;001241385;SPAG MIRAFLORES;;A
663.000;Depósito en Efectivo;;02/06/2025;000374983;S.Bernardo;;A
31.300;Dep Efect Servipag 00760638226;;03/06/2025;000818202;SPAG MIRAFLORES;;A
30.000;Dep Efect Servipag 00760638226;;03/06/2025;001240989;SPAG MIRAFLORES;;A
44.450;Dep Efect Servipag 00760638226;;03/06/2025;001240990;SPAG MIRAFLORES;;A
664.800;Depósito en Efectivo;;02/06/2025;000374701;S.Bernardo;;A
121.200;Dep Efect Servipag 00760638226;;03/06/2025;001240991;SPAG MIRAFLORES;;A
15.000;0180350373 Transf. MATURANA PRIETO;;03/06/2025;001202141;Agustinas;;A
56.800;Dep Efect Servipag 00760638226;;03/06/2025;001241333;SPAG MIRAFLORES;;A
338.550;Depósito en Efectivo;;02/06/2025;000374851;S.Bernardo;;A
83.800;Dep Efect Servipag 00760638226;;03/06/2025;001241332;SPAG MIRAFLORES;;A
475.200;Depósito en Efectivo;;02/06/2025;001727543;S.Bernardo;;A
19.450;Dep Efect Servipag 00760638226;;03/06/2025;005649583;SPAG MIRAFLORES;;A
89.600;Dep Efect Servipag 00760638226;;03/06/2025;000818227;SPAG MIRAFLORES;;A
101.600;Dep Efect Servipag 00760638226;;03/06/2025;000818228;SPAG MIRAFLORES;;A
109.700;Dep Efect Servipag 00760638226;;03/06/2025;000818229;SPAG MIRAFLORES;;A
100.450;Dep Efect Servipag 00760638226;;03/06/2025;000818431;SPAG MIRAFLORES;;A
97.400;Dep Efect Servipag 00760638226;;03/06/2025;000818430;SPAG MIRAFLORES;;A
61.300;Dep Efect Servipag 00760638226;;03/06/2025;000818429;SPAG MIRAFLORES;;A
37.650;Dep Efect Servipag 00760638226;;03/06/2025;000139060;SPAG MIRAFLORES;;A
68.550;Dep Efect Servipag 00760638226;;03/06/2025;000139058;SPAG MIRAFLORES;;A
70.100;Dep Efect Servipag 00760638226;;03/06/2025;000139064;SPAG MIRAFLORES;;A
1.900;0190148610 Transf. VILLARROEL OLIV;;03/06/2025;001202144;Agustinas;;A
362.300;Dep Efect Servipag 00760638226;;03/06/2025;002798453;SPAG MALL PASEO BALM;;A
61.050;Depósito en Efectivo;;02/06/2025;001899491;Copiapó;;A
144.600;Depósito en Efectivo;;02/06/2025;001899492;Copiapó;;A
60.000;Dep Efect Servipag 00760638226;;03/06/2025;002828306;SPAG CITY PT OVALLE;;A
202.000;Depósito en Efectivo;;02/06/2025;001899493;Copiapó;;A
133.350;Dep Efect Servipag 00760638226;;03/06/2025;002825192;SPAG CITY PT OVALLE;;A
217.850;Dep Efect Servipag 00760638226;;03/06/2025;002825188;SPAG CITY PT OVALLE;;A
50.000;Depósito en Efectivo;;02/06/2025;003091260;VILLANELO EXPRESSO;;A
46.000;Depósito en Efectivo;;02/06/2025;003091899;VILLANELO EXPRESSO;;A
150.800;Depósito en Efectivo;;02/06/2025;003091255;VILLANELO EXPRESSO;;A
193.850;Depósito en Efectivo;;02/06/2025;004440809;VILLANELO EXPRESSO;;A
572.700;Dep Efect Servipag 00760638226;;03/06/2025;001218306;SPAG MAIPU;;A
13.620;0995469006 Transf. Iswitch SA;;03/06/2025;000100003;Agustinas;;A
77.196;0995469006 Transf. Iswitch SA;;03/06/2025;000100003;Agustinas;;A
75.675;0995469006 Transf. Iswitch SA;;03/06/2025;000100003;Agustinas;;A
21.139;0995469006 Transf. Iswitch SA;;03/06/2025;000100003;Agustinas;;A
696.600;Dep Efect Servipag 00760638226;;03/06/2025;001218308;SPAG MAIPU;;A
629.200;Dep Efect Servipag 00760638226;;03/06/2025;001218305;SPAG MAIPU;;A
299.550;Dep Efect Servipag 00760638226;;03/06/2025;003394586;SPAG OSORNO;;A
264.800;Dep Efect Servipag 00760638226;;03/06/2025;003394591;SPAG OSORNO;;A
231.750;Dep Efect Servipag 00760638226;;03/06/2025;003394585;SPAG OSORNO;;A
400.000;Dep Efect Servipag 00760638226;;03/06/2025;003394748;SPAG OSORNO;;A
60.150;Dep Efect Servipag 00760638226;;03/06/2025;003394587;SPAG OSORNO;;A
244.700;Dep Efect Servipag 00760638226;;03/06/2025;003394590;SPAG OSORNO;;A
285.000;Dep Efect Servipag 00760638226;;03/06/2025;003394588;SPAG OSORNO;;A
132.450;Dep Efect Servipag 00760638226;;03/06/2025;001397821;SPAG OSORNO;;A
29.800;Dep Efect Servipag 00760638226;;03/06/2025;001397820;SPAG OSORNO;;A
102.600;Depósito en Efectivo;;02/06/2025;003826955;ANTOF.PZA.EXPRESSO;;A
143.050;Depósito en Efectivo;;02/06/2025;003826949;ANTOF.PZA.EXPRESSO;;A
27.700;Depósito en Efectivo;;02/06/2025;003826950;ANTOF.PZA.EXPRESSO;;A
150.000;0765694787 Transf. X5 SOLUCIONES C;;03/06/2025;001600119;Agustinas;;A
40.000;0761002317 Transf. COMERCIALIZADOR;;03/06/2025;001600119;Agustinas;;A
41.650;0767166451 Transf.;;03/06/2025;003925153;Agustinas;;A
70.000;0184937174 Transf. GONZALEZ CORTES;;03/06/2025;001425060;Agustinas;;A
70.000;0156504157 Transf. OYARZUN HENRIQU;;03/06/2025;001202683;Agustinas;;A
40.000;0155554975 Transf. SALINAS LEON MA;;03/06/2025;001202730;Agustinas;;A
119.000;0970060006 PAGO PROVEEDOR BANCO D;;03/06/2025;000000000;G.Finanzas;;A
190.400;0970060006 PAGO PROVEEDOR BANCO D;;03/06/2025;000000000;G.Finanzas;;A
29.003.609;0966893109 ABN CRD DB TRAN TRANSBA;;03/06/2025;000000000;G.Finanzas;;A
50.000;0114360511 Transf. GAETE FERNANDEZ;;03/06/2025;001203093;Agustinas;;A
408.250;Dep Efect Servipag 00760638226;;03/06/2025;002798454;SPAG MALL PASEO BALM;;A
114.550;Depósito en Efectivo;;03/06/2025;000707690;P.Montt Co;;A
79.700;Depósito en Efectivo;;03/06/2025;000707691;P.Montt Co;;A
150.050;Depósito en Efectivo;;03/06/2025;003120841;P.Montt Co;;A
75.000;Depósito en Efectivo;;03/06/2025;003120840;P.Montt Co;;A
179.350;Depósito en Efectivo;;03/06/2025;003091977;VILLANELO EXPRESSO;;A
40.000;0055444161 Transf. Myrna Del Carme;;03/06/2025;000111973;Agustinas;;A
192.300;Depósito en Efectivo;;03/06/2025;002826141;Ovalle;;A
200.000;86.326.000-0 Transf. BARRENA H;;03/06/2025;000000000;Agustinas;;A
119.150;Depósito en Efectivo;;03/06/2025;004126219;Quillota;;A
104.850;Depósito en Efectivo;;03/06/2025;041262201;Quillota;;A
212.400;Depósito en Efectivo;;03/06/2025;004126221;Quillota;;A
154.350;Depósito en Efectivo;;03/06/2025;004126215;Quillota;;A
243.950;Depósito en Efectivo;;03/06/2025;004126216;Quillota;;A
169.450;Depósito en Efectivo;;03/06/2025;004126217;Quillota;;A
165.400;Depósito en Efectivo;;03/06/2025;004126214;Quillota;;A
59.500;0128786589 Transf. Cristian Albert;;03/06/2025;000111973;Agustinas;;A
30.350;Dep Efect Servipag 00760638226;;03/06/2025;001241334;SPAG MIRAFLORES;;A
5.000;Dep Efect Servipag 00760638226;;03/06/2025;000818279;SPAG MIRAFLORES;;A
5.000;Dep Efect Servipag 00760638226;;03/06/2025;000818278;SPAG MIRAFLORES;;A
10.000;Dep Efect Servipag 00760638226;;03/06/2025;000818277;SPAG MIRAFLORES;;A
3.000;Dep Efect Servipag 00760638226;;03/06/2025;000818276;SPAG MIRAFLORES;;A
3.000;Dep Efect Servipag 00760638226;;03/06/2025;000818275;SPAG MIRAFLORES;;A
285.600;0995285401 Transf.;;03/06/2025;003925154;Agustinas;;A
70.000;010259441K Transf.;;03/06/2025;003925154;Agustinas;;A
50.000;005474885K Transf. ROYO WICHMANN R;;03/06/2025;001203131;Agustinas;;A
399.950;Depósito en Efectivo;;03/06/2025;000000504;L.AngelesP;;A
2.407.050;Depósito en Efectivo;;03/06/2025;000007969;L. Angeles;;A
5.052;0995469006 Transf. Iswitch SA;;03/06/2025;000100003;Agustinas;;A
131.953;0995469006 Transf. Iswitch SA;;03/06/2025;000100003;Agustinas;;A
18.192;0995469006 Transf. Iswitch SA;;03/06/2025;000100003;Agustinas;;A
39.200;Dep Efect Servipag 00760638226;;03/06/2025;001241381;SPAG CONCHALI;;A
47.450;Dep Efect Servipag 00760638226;;03/06/2025;000139065;SPAG CONCHALI;;A
40.500;Dep Efect Servipag 00760638226;;03/06/2025;000846603;SPAG CONCHALI;;A
10.400;Dep Efect Servipag 00760638226;;03/06/2025;002942249;SPAG CONCHALI;;A
12.800;Dep Efect Servipag 00760638226;;03/06/2025;002942250;SPAG CONCHALI;;A
50.000;013186499K Transf de MONICA ISABEL;;03/06/2025;000000000;O.Gerencia;;A
202.750;Depósito en Efectivo;;03/06/2025;001810659;S.Bernardo;;A
385.450;Depósito en Efectivo;;03/06/2025;002810658;S.Bernardo;;A
104.850;Depósito en Efectivo;;03/06/2025;004047071;Valdiv. Ar;;A
39.550;Depósito en Efectivo;;03/06/2025;003271428;Valdiv. Ar;;A
83.100;Depósito en Efectivo;;03/06/2025;002099937;Valdiv. Ar;;A
68.100;Depósito en Efectivo;;03/06/2025;003271430;Valdiv. Ar;;A
412.800;Depósito en Efectivo;;03/06/2025;001727544;S.Bernardo;;A
63.500;Dep Efect Servipag 00760638226;;03/06/2025;004699038;SPAG CONCHALI;;A
74.250;Dep Efect Servipag 00760638226;;03/06/2025;003881536;SPAG CONCHALI;;A
72.150;Dep Efect Servipag 00760638226;;03/06/2025;003881537;SPAG CONCHALI;;A
118.250;Dep Efect Servipag 00760638226;;04/06/2025;003881538;SPAG CONCHALI;;A
234.650;Dep Efect Servipag 00760638226;;04/06/2025;003881540;SPAG CONCHALI;;A
671.500;Dep Efect Servipag 00760638226;;04/06/2025;003424675;SPAG MAIPU;;A
193.750;Dep Efect Servipag 00760638226;;04/06/2025;002828339;SPAG CITY PT OVALLE;;A
1.549.500;0968986708 Transf. ABAN S A;;04/06/2025;001600119;Agustinas;;A
40.000;Depos.Docto.O.Bancos;;03/06/2025;         ;Quillota;;A
